check,quarter,manager,cusip,warning_fingerprint,classification,resolution,reference,reviewed_by,reviewed_date
identity,,,806407102,83efe6996cadb6c335a6195f63fc8e1afc2c6918e2db5db110a87316942c3b7a,issuer-label-variation,Henry Schein and Schein Henry are word-order variants,SEC 13F filings with the same CUSIP,Codex audit,2026-08-17
identity,,,87241L109,4f80db6098d518f9210774f39e7c3e473b6f37d2c4ca8ce1537c47d303112c5f,issuer-name-change,TransForce is the former name of TFI International; same security identity,SEC issuer filing history,Codex audit,2026-08-17
identity,,,88023U101,b4d0cbcb0003d2bdefc40a014fb6a448aa062810dbb42fa014664e19b4b7d4b8,issuer-name-change,Tempur Sealy renamed Somnigroup; same security identity,SEC issuer filing history,Codex audit,2026-08-17
identity,,,911684108,3ce3c418a2110afac01212f8e8751572a7bf13bbcbe589178539a960af1a41f9,issuer-name-change,United States Cellular became Array Digital Infrastructure after its transaction; same CUSIP,SEC issuer filing history,Codex audit,2026-08-17
identity,,,G3398L118,a5c1dcf74b9cf1af615872a1e9f2ee2b62f25f66b28c637ef9f040455eba94cd,issuer-name-change,Fidelis Insurance changed to Pelagos Insurance Capital; same security identity,SEC issuer filing history,Codex audit,2026-08-17
identity,,,Q4982L109,d5f32a39d08cf6cd36528488b4965ba189b90f783a54a93f7a8fff254aafc2ed,issuer-name-change,Iris Energy renamed IREN; same security identity,SEC issuer filing history,Codex audit,2026-08-17
qoq-price,2025Q1,third-point,64107A113,53780fd2324227973f1b481020e45dc09047b94ccae85e51b1cbe61ba0ea96e6,confirmed-warrant-movement,NET Power warrant shares were unchanged and the accepted filing reports the lower warrant value; not a common-share split,https://www.sec.gov/Archives/edgar/data/1040273/000108514625001713/0001085146-25-001713-index.htm and https://www.sec.gov/Archives/edgar/data/1040273/000108514625003337/0001085146-25-003337-index.htm (retrieved 2026-08-12),Codex audit,2026-08-17
qoq-price,2025Q3,maverick-capital,231269309,06a8153fbf15e2bf5e9384a3a4f6c1c9cb9a7f490007b5f062b161c21d32451d,filer-value-anomaly,Maverick reports an implied Curis price of $0.125 while independent same-quarter SEC filings imply about $2.32; preserve as filed and flag,https://www.sec.gov/Archives/edgar/data/934639/000094787125001016/0000947871-25-001016-index.htm (retrieved 2026-08-12); https://www.sec.gov/Archives/edgar/data/93751/000009375125000521/xslForm13F_X02/XML_Infotable.xml (retrieved 2026-08-17),Codex audit,2026-08-17
qoq-price,2025Q4,coatue,64110L106,9b3b2f440b7a2e953ae2ac676746bd35c92d9ce9de72b39f51ed4287cc0b6d23,corporate-action,Netflix completed a 10-for-1 forward split; adjust prior shares only for comparison,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000407/ex991_q425stocksplit.htm (retrieved 2026-08-17),Codex audit,2026-08-17
qoq-price,2025Q4,tiger-global,64110L106,a9a4d56990d79ac5fdca5e2e9a443f6283de44de4034725b44cb665f55059b3d,corporate-action,Netflix completed a 10-for-1 forward split; adjust prior shares only for comparison,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000407/ex991_q425stocksplit.htm (retrieved 2026-08-17),Codex audit,2026-08-17
qoq-price,2026Q2,giverny,09857L108,eda3af810aec8a4cf1ff70575a1f41332d67cd8ed9a7066958b72d9acd692c52,corporate-action,Booking Holdings completed a 25-for-1 forward split; split-adjusted shares show a small trim rather than an add,https://www.sec.gov/Archives/edgar/data/1075531/000095015726000465/form8-k.htm (retrieved 2026-08-17),Codex audit,2026-08-17
qoq-price,2026Q2,giverny,78463V107,5db36aca59183585641c2ce5e602d47cc4fca16f988362b240803e601b09aeba,filer-value-anomaly,Giverny reports $25.0m for 3876 GLD shares implying $6458.50 versus about $368 cross-sectionally; preserve as filed and flag,https://www.sec.gov/Archives/edgar/data/1641864/000164186426000005/0001641864-26-000005-index.htm and https://www.ssga.com/us/en/individual/etfs/spdr-gold-shares-gld (retrieved 2026-08-17),Codex audit,2026-08-17
qoq-shares,2024Q3,coatue,47215P106,fc120cc55d20759d87f95ef1bf6b977c5f2a34f878d50d9db279fa1454b7f32b,confirmed-reported-trade,Raw SEC shares and values reconcile and quarter-end implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2024Q3,maverick-capital,64110L106,3ef48c1c46b36bd8f2e80b94da27592b1c9d8aa4d57d10af74d2007b6d621ea1,confirmed-reported-trade,Raw SEC shares and values reconcile and quarter-end implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2024Q4,giverny,28176E108,00ae6930d3cfdf7308dbd62ce1f6411e2f5e242635e8a8ed0e02afce66e6845e,confirmed-reported-trade,Raw SEC shares and values reconcile and quarter-end implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2024Q4,tiger-global,L8681T102,86754de36a286e457b5e561dd907187ebe5a2d86173a9f38c88a4967a953e7a1,confirmed-reported-trade,Raw SEC shares and values reconcile and quarter-end implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2025Q1,maverick-capital,254709108,642d58ef66e11cd646803086bac42c57c27f2ddd478287ce1d86252223db71b3,confirmed-reported-trade,Raw SEC shares and values reconcile and quarter-end implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2025Q2,lindsell-train,02079K305,134a97ae38179d67ec86a6f08891b3625592f47c70b54dc8b969fa93f3eca049,confirmed-reported-trade,Raw SEC shares and values reconcile and quarter-end implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2025Q2,maverick-capital,881624209,893747df02e56ce8bd11a1b45af6dc84e130c2acb647076e11672cd6b470f31d,confirmed-reported-trade,Raw SEC shares and values reconcile and quarter-end implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2025Q3,maverick-capital,704551100,9303ff95d68062426d24397b2778c84fc016f8e9f192c09be52b19776adb9d88,confirmed-reported-trade,Raw SEC shares and values reconcile and the reported price is internally plausible,SEC accessions in evidence filings.csv; raw XML check,Codex audit,2026-08-17
qoq-shares,2025Q3,maverick-capital,824348106,c6ee8e4e2332583145ba431d28a7c2e6679a0f93005aa658b564791d5a89865c,confirmed-reported-trade,Raw SEC shares and values reconcile and quarter-end implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2025Q4,coatue,G9572D103,0a5211685ca627dd1ad73b3a78987fa5417afd426888316755292d310cbd85a4,confirmed-reported-trade,Raw SEC shares and values reconcile and quarter-end implied prices match peer filings,SEC accessions in evidence filings.csv; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2026Q1,situational-awareness,458140100,5a91ed59e19576d31a13613771cc348252ba86bd2373c756b0b7337321c5aa66,confirmed-reported-trade,Raw SEC filing shows a one-share marker position followed by 202344 shares; implied prices match peer filings,https://www.sec.gov/Archives/edgar/data/2045724/000093583626000002/0000935836-26-000002-index.htm (retrieved 2026-08-12); evidence filings.csv and raw XML,Codex audit,2026-08-17
qoq-shares,2026Q2,fundsmith,872540109,270275beec3ce02664227fee73c8034f9a26cd125a8cb4987322078bba4da833,confirmed-reported-trade,Both Fundsmith filer rows reconcile to raw SEC XML and their implied price matches the quarter-end cross-section,SEC accessions 0001569205-26-000012 and 0001868537-26-000007,Codex audit,2026-08-17
qoq-shares,2026Q2,fundsmith,874039100,1b045a9c0c848b5ef12e821a341bfdc7f802f6e293518b6abda353c0bda841d2,confirmed-reported-trade,Both Fundsmith filer rows reconcile to raw SEC XML and their implied price matches eleven peer books,SEC accessions 0001569205-26-000012 and 0001868537-26-000007,Codex audit,2026-08-17
qoq-shares,2026Q2,maverick-capital,038222105,7c7d75df5f5c5480da9c9cb47fe8c41efd6981ee881ffbaff140cfa3ea8b3a77,confirmed-reported-trade,Raw SEC filing reports the near-exit and its implied price matches five peer books,SEC accession 0000947871-26-000793; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2026Q2,maverick-capital,N07059210,fc38b8462370eb0780c7918af07e164279cd3fb0c7d92e1ff3eea89b8566163e,confirmed-reported-trade,Raw SEC filing reports the near-exit and its implied price matches five peer books,SEC accession 0000947871-26-000793; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2026Q2,situational-awareness,595112103,177f0ca5abf8ef50d372442e26c429ef11a5b55360b7f2d8c2fc5aa36ea8a372,confirmed-reported-trade,Raw SEC filing reports the large MU addition and its implied price matches six peer books,SEC accession 0000935836-26-000418; cross-manager price check,Codex audit,2026-08-17
qoq-shares,2026Q2,situational-awareness,874039100,7413b67c2bdf1f9a9e915ab8e03f83ef1f3f506a5bc0726492150ab1928462d8,confirmed-reported-trade,Raw SEC filing reports the large TSM addition and its implied price matches eleven peer books,SEC accession 0000935836-26-000418; cross-manager price check,Codex audit,2026-08-17
